source_space_name,room_category,matched_token,classification_status,thermal_zone,floor_area_m2,exterior_area_m2,design_people,people_per_m2,m2_per_person,space_type_defaulted,explicit_space_type,effective_space_type,metadata_status,metadata_conflicts,people_source_kinds,people_source_names,people_definition_names,people_calculation_methods,people_definition_values,number_schedules,activity_schedules,fraction_radiant_values,sensible_heat_fraction_values,co2_generation_rate_m3_s_person_values,oa_defaulted,oa_name,oa_method,oa_flow_per_person_m3_s_person,oa_flow_per_area_m3_s_m2,oa_flow_rate_m3_s,oa_ach_per_h,oa_schedule,source_handle
P1-9-commerce 1,commerce_retail,commerce,CLASSIFIED,Thermal Zone: P1-9-commerce 1,45,45,7.26564,0.161459,6.193536,false,Retail Retail,Retail Retail,SOURCE_METADATA_CONSISTENT,,space_type,Retail Retail,Retail Retail People Definition,People/Area,0.161458656250646,RetailStandalone BLDG_OCC_SCH,RetailStandalone ACTIVITY_SCH,0.3,,3.82e-08,true,Retail Retail Ventilation,Sum,0,0.001524,0,0,,{252086f0-dcff-47c3-931b-735b97b11353}
P2-1-commerce 2,commerce_retail,commerce,CLASSIFIED,Thermal Zone: P2-1-commerce 2,40.848987,40.848987,6.595423,0.161459,6.193536,false,Retail Retail,Retail Retail,SOURCE_METADATA_CONSISTENT,,space_type,Retail Retail,Retail Retail People Definition,People/Area,0.161458656250646,RetailStandalone BLDG_OCC_SCH,RetailStandalone ACTIVITY_SCH,0.3,,3.82e-08,true,Retail Retail Ventilation,Sum,0,0.001524,0,0,,{70675e6d-143b-4d8a-92f2-120f80ff6719}
P2-1-commerce 3,commerce_retail,commerce,CLASSIFIED,Thermal Zone: P2-1-commerce 3,46.007133,46.007133,7.42825,0.161459,6.193536,false,Retail Retail,Retail Retail,SOURCE_METADATA_CONSISTENT,,space_type,Retail Retail,Retail Retail People Definition,People/Area,0.161458656250646,RetailStandalone BLDG_OCC_SCH,RetailStandalone ACTIVITY_SCH,0.3,,3.82e-08,true,Retail Retail Ventilation,Sum,0,0.001524,0,0,,{5b944cef-8d75-452e-a2cc-0cfd58d246ac}
P2-2-restroom 1,restroom,restroom,CLASSIFIED,Thermal Zone: P2-2-restroom 1,183.726529,183.726529,19.776159,0.107639,9.290304,false,189.1-2009 - Office - Restroom - CZ4-8,189.1-2009 - Office - Restroom - CZ4-8,SOURCE_METADATA_CONSISTENT,,space_type,189.1-2009 - Office - Restroom - CZ4-8,189.1-2009 - Office - Restroom - CZ4-8 People Definition,People/Area,0.107639104167097,Office Misc Occ,Office Activity,0.3,,3.82e-08,true,189.1-2009 - Office - Restroom - CZ4-8 Ventilation,Sum,0,0.004877,0,0,,{19ab3a2d-9d0e-4d6b-b814-5911c5923560}
P3-1-commerce 1,commerce_retail,commerce,CLASSIFIED,Thermal Zone: P3-1-commerce 1,100,100,16.145866,0.161459,6.193536,false,Retail Retail,Retail Retail,SOURCE_METADATA_CONSISTENT,,space_type,Retail Retail,Retail Retail People Definition,People/Area,0.161458656250646,RetailStandalone BLDG_OCC_SCH,RetailStandalone ACTIVITY_SCH,0.3,,3.82e-08,true,Retail Retail Ventilation,Sum,0,0.001524,0,0,,{076ea771-a2e3-44d2-a5be-06c6bf253720}
P3-1-dining 1,dining,dining,CLASSIFIED,Thermal Zone: P3-1-dining 1,100,100,10.76391,0.107639,9.290304,false,Office Dining,Office Dining,SOURCE_METADATA_CONSISTENT,,space_type,Office Dining,Office Dining People Definition,People/Area,0.107639104167097,OfficeLarge BLDG_OCC_SCH,OfficeMedium ACTIVITY_SCH,0.3,,3.82e-08,true,Office Dining Ventilation,Sum,0.007079,0,0,0,,{8061f5ca-493a-444d-86c2-29142c588ae4}
P3-2-dining 1,dining,dining,CLASSIFIED,Thermal Zone: P3-2-dining 1,50,50,5.381955,0.107639,9.290304,false,Office Dining,Office Dining,SOURCE_METADATA_CONSISTENT,,space_type,Office Dining,Office Dining People Definition,People/Area,0.107639104167097,OfficeLarge BLDG_OCC_SCH,OfficeMedium ACTIVITY_SCH,0.3,,3.82e-08,true,Office Dining Ventilation,Sum,0.007079,0,0,0,,{e2851f05-25fd-4edd-adb1-3c2cef3b98d5}
P3-2-restroom 1,restroom,restroom,CLASSIFIED,Thermal Zone: P3-2-restroom 1,150,150,16.145866,0.107639,9.290304,false,189.1-2009 - Office - Restroom - CZ4-8,189.1-2009 - Office - Restroom - CZ4-8,SOURCE_METADATA_CONSISTENT,,space_type,189.1-2009 - Office - Restroom - CZ4-8,189.1-2009 - Office - Restroom - CZ4-8 People Definition,People/Area,0.107639104167097,Office Misc Occ,Office Activity,0.3,,3.82e-08,true,189.1-2009 - Office - Restroom - CZ4-8 Ventilation,Sum,0,0.004877,0,0,,{10ad3ef5-ed0c-41d4-85b6-23ba569fd63b}
P4-1-commerce 1,commerce_retail,commerce,CLASSIFIED,Thermal Zone: P4-1-commerce 1,73.587979,73.587979,11.881416,0.161459,6.193536,false,Retail Retail,Retail Retail,SOURCE_METADATA_CONSISTENT,,space_type,Retail Retail,Retail Retail People Definition,People/Area,0.161458656250646,RetailStandalone BLDG_OCC_SCH,RetailStandalone ACTIVITY_SCH,0.3,,3.82e-08,true,Retail Retail Ventilation,Sum,0,0.001524,0,0,,{152cdc14-9c93-4821-b56e-91f700f77b06}
P4-2-commerce 1,commerce_retail,commerce,CLASSIFIED,Thermal Zone: P4-2-commerce 1,46.177098,46.177098,7.455692,0.161459,6.193536,false,Retail Retail,Retail Retail,SOURCE_METADATA_CONSISTENT,,space_type,Retail Retail,Retail Retail People Definition,People/Area,0.161458656250646,RetailStandalone BLDG_OCC_SCH,RetailStandalone ACTIVITY_SCH,0.3,,3.82e-08,true,Retail Retail Ventilation,Sum,0,0.001524,0,0,,{6fdc3cd0-31dd-4de1-a103-4e61a5ec9b8c}
P4-2-commerce 2,commerce_retail,commerce,CLASSIFIED,Thermal Zone: P4-2-commerce 2,36.808969,36.808969,5.943127,0.161459,6.193536,false,Retail Retail,Retail Retail,SOURCE_METADATA_CONSISTENT,,space_type,Retail Retail,Retail Retail People Definition,People/Area,0.161458656250646,RetailStandalone BLDG_OCC_SCH,RetailStandalone ACTIVITY_SCH,0.3,,3.82e-08,true,Retail Retail Ventilation,Sum,0,0.001524,0,0,,{db98b838-f208-40c7-8eef-66d22ace40fc}
P4-3-commerce 1,commerce_retail,commerce,CLASSIFIED,Thermal Zone: P4-3-commerce 1,27.239078,27.239078,4.397985,0.161459,6.193536,false,Retail Retail,Retail Retail,SOURCE_METADATA_CONSISTENT,,space_type,Retail Retail,Retail Retail People Definition,People/Area,0.161458656250646,RetailStandalone BLDG_OCC_SCH,RetailStandalone ACTIVITY_SCH,0.3,,3.82e-08,true,Retail Retail Ventilation,Sum,0,0.001524,0,0,,{fbac359b-5c51-49e3-bef7-af08905f0a34}
P4-3-commerce 2,commerce_retail,commerce,CLASSIFIED,Thermal Zone: P4-3-commerce 2,23.982457,23.982457,3.872175,0.161459,6.193536,false,Retail Retail,Retail Retail,SOURCE_METADATA_CONSISTENT,,space_type,Retail Retail,Retail Retail People Definition,People/Area,0.161458656250646,RetailStandalone BLDG_OCC_SCH,RetailStandalone ACTIVITY_SCH,0.3,,3.82e-08,true,Retail Retail Ventilation,Sum,0,0.001524,0,0,,{a3ca5b0f-c96a-494f-8745-5cc56c076027}
d-b-breakroom-1,breakroom,breakroom,CLASSIFIED,dbbreakroom1,105.623973,105.623973,5.684635,0.05382,18.580608,true,,189.1-2009 - Office - WholeBuilding - Lg Office - CZ4-8,SOURCE_METADATA_DEFAULTED,,building_default_space_type,189.1-2009 - Office - WholeBuilding - Lg Office - CZ4-8,189.1-2009 - Office - WholeBuilding - Lg Office - CZ4-8 People Definition,People/Area,0.0538195520835486,Large Office Bldg Occ,Large Office Activity,0.3,,3.82e-08,true,189.1-2009 - Office - WholeBuilding - Lg Office - CZ4-8 Ventilation,Sum,0.009439,0,0,0,,{20426492-5476-4e65-8968-30d57e443174}
d-b-breakroom-2,breakroom,breakroom,CLASSIFIED,dbbreakroom2,70.184311,70.184311,3.777288,0.05382,18.580608,true,,189.1-2009 - Office - WholeBuilding - Lg Office - CZ4-8,SOURCE_METADATA_DEFAULTED,,building_default_space_type,189.1-2009 - Office - WholeBuilding - Lg Office - CZ4-8,189.1-2009 - Office - WholeBuilding - Lg Office - CZ4-8 People Definition,People/Area,0.0538195520835486,Large Office Bldg Occ,Large Office Activity,0.3,,3.82e-08,true,189.1-2009 - Office - WholeBuilding - Lg Office - CZ4-8 Ventilation,Sum,0.009439,0,0,0,,{b8adc1f9-023a-4395-965c-62e225eee35c}
d-b-breakroom-3,breakroom,breakroom,CLASSIFIED,dbbreakroom3,81.64455,81.64455,4.394073,0.05382,18.580608,true,,189.1-2009 - Office - WholeBuilding - Lg Office - CZ4-8,SOURCE_METADATA_DEFAULTED,,building_default_space_type,189.1-2009 - Office - WholeBuilding - Lg Office - CZ4-8,189.1-2009 - Office - WholeBuilding - Lg Office - CZ4-8 People Definition,People/Area,0.0538195520835486,Large Office Bldg Occ,Large Office Activity,0.3,,3.82e-08,true,189.1-2009 - Office - WholeBuilding - Lg Office - CZ4-8 Ventilation,Sum,0.009439,0,0,0,,{d09e2b2e-0e3a-4dfa-8f2c-750044bb358c}
d-b-commerce-1,commerce_retail,commerce,CLASSIFIED,dbcommerce1,46.007133,46.007133,7.42825,0.161459,6.193536,false,Retail Retail,Retail Retail,SOURCE_METADATA_CONSISTENT,,space_type,Retail Retail,Retail Retail People Definition,People/Area,0.161458656250646,RetailStandalone BLDG_OCC_SCH,RetailStandalone ACTIVITY_SCH,0.3,,3.82e-08,true,Retail Retail Ventilation,Sum,0,0.001524,0,0,,{899c26fc-fc7d-44aa-a639-b985fd4caf45}
d-b-commerce-2,commerce_retail,commerce,CLASSIFIED,dbcommerce2,134.525312,134.525312,21.720276,0.161459,6.193536,false,Retail Retail,Retail Retail,SOURCE_METADATA_CONSISTENT,,space_type,Retail Retail,Retail Retail People Definition,People/Area,0.161458656250646,RetailStandalone BLDG_OCC_SCH,RetailStandalone ACTIVITY_SCH,0.3,,3.82e-08,true,Retail Retail Ventilation,Sum,0,0.001524,0,0,,{92a1ba71-cd7b-426e-af6f-23510dbdaf3d}
d-b-commerce-3,commerce_retail,commerce,CLASSIFIED,dbcommerce3,100,100,16.145866,0.161459,6.193536,false,Retail Retail,Retail Retail,SOURCE_METADATA_CONSISTENT,,space_type,Retail Retail,Retail Retail People Definition,People/Area,0.161458656250646,RetailStandalone BLDG_OCC_SCH,RetailStandalone ACTIVITY_SCH,0.3,,3.82e-08,true,Retail Retail Ventilation,Sum,0,0.001524,0,0,,{55f9fda0-bfc8-4908-ada5-1d628739f02d}
d-b-commerce-4,commerce_retail,commerce,CLASSIFIED,dbcommerce4,73.587979,73.587979,11.881416,0.161459,6.193536,false,Retail Retail,Retail Retail,SOURCE_METADATA_CONSISTENT,,space_type,Retail Retail,Retail Retail People Definition,People/Area,0.161458656250646,RetailStandalone BLDG_OCC_SCH,RetailStandalone ACTIVITY_SCH,0.3,,3.82e-08,true,Retail Retail Ventilation,Sum,0,0.001524,0,0,,{934542b1-605a-48eb-810b-401bcf51d249}
d-b-commerce-5,commerce_retail,commerce,CLASSIFIED,dbcommerce5,23.982457,23.982457,3.872175,0.161459,6.193536,false,Retail Retail,Retail Retail,SOURCE_METADATA_CONSISTENT,,space_type,Retail Retail,Retail Retail People Definition,People/Area,0.161458656250646,RetailStandalone BLDG_OCC_SCH,RetailStandalone ACTIVITY_SCH,0.3,,3.82e-08,true,Retail Retail Ventilation,Sum,0,0.001524,0,0,,{e9095374-85eb-4014-814c-9df1cdaadea7}
d-b-commerce-6,commerce_retail,commerce,CLASSIFIED,dbcommerce6,90.807139,90.807139,14.661599,0.161459,6.193536,false,Retail Retail,Retail Retail,SOURCE_METADATA_CONSISTENT,,space_type,Retail Retail,Retail Retail People Definition,People/Area,0.161458656250646,RetailStandalone BLDG_OCC_SCH,RetailStandalone ACTIVITY_SCH,0.3,,3.82e-08,true,Retail Retail Ventilation,Sum,0,0.001524,0,0,,{df780aaa-fc89-4d1d-a62c-e532df644ed6}
d-b-commerce-7,commerce_retail,commerce,CLASSIFIED,dbcommerce7,198.737102,198.737102,32.087825,0.161459,6.193536,false,Retail Retail,Retail Retail,SOURCE_METADATA_CONSISTENT,,space_type,Retail Retail,Retail Retail People Definition,People/Area,0.161458656250646,RetailStandalone BLDG_OCC_SCH,RetailStandalone ACTIVITY_SCH,0.3,,3.82e-08,true,Retail Retail Ventilation,Sum,0,0.001524,0,0,,{9c228268-a59c-429e-96db-a788e3667b2f}
d-b-commerce-8,commerce_retail,commerce,CLASSIFIED,dbcommerce8,276.08985,276.08985,44.577096,0.161459,6.193536,false,Retail Retail,Retail Retail,SOURCE_METADATA_CONSISTENT,,space_type,Retail Retail,Retail Retail People Definition,People/Area,0.161458656250646,RetailStandalone BLDG_OCC_SCH,RetailStandalone ACTIVITY_SCH,0.3,,3.82e-08,true,Retail Retail Ventilation,Sum,0,0.001524,0,0,,{e828c01d-d8d9-4a91-895a-f9f52d7da1d6}
d-b-dining-1,dining,dining,CLASSIFIED,dbdining1,81.64455,81.64455,8.788146,0.107639,9.290304,false,Office Dining,Office Dining,SOURCE_METADATA_CONSISTENT,,space_type,Office Dining,Office Dining People Definition,People/Area,0.107639104167097,OfficeLarge BLDG_OCC_SCH,OfficeMedium ACTIVITY_SCH,0.3,,3.82e-08,true,Office Dining Ventilation,Sum,0.007079,0,0,0,,{8d57c784-3a3c-4c00-b5b6-c0e4f03d6d31}
d-b-dining-2,dining,dining,CLASSIFIED,dbdining2,100,100,10.76391,0.107639,9.290304,false,Office Dining,Office Dining,SOURCE_METADATA_CONSISTENT,,space_type,Office Dining,Office Dining People Definition,People/Area,0.107639104167097,OfficeLarge BLDG_OCC_SCH,OfficeMedium ACTIVITY_SCH,0.3,,3.82e-08,true,Office Dining Ventilation,Sum,0.007079,0,0,0,,{2f16c54b-b5f9-4961-aba5-e51d0d1388e5}
d-b-dining-3,dining,dining,CLASSIFIED,dbdining3,50,50,5.381955,0.107639,9.290304,false,Office Dining,Office Dining,SOURCE_METADATA_CONSISTENT,,space_type,Office Dining,Office Dining People Definition,People/Area,0.107639104167097,OfficeLarge BLDG_OCC_SCH,OfficeMedium ACTIVITY_SCH,0.3,,3.82e-08,true,Office Dining Ventilation,Sum,0.007079,0,0,0,,{0146f138-f6a6-4349-8336-115b4d82bbef}
d-b-dining-4,dining,dining,CLASSIFIED,dbdining4,73.176009,73.176009,7.8766,0.107639,9.290304,false,Office Dining,Office Dining,SOURCE_METADATA_CONSISTENT,,space_type,Office Dining,Office Dining People Definition,People/Area,0.107639104167097,OfficeLarge BLDG_OCC_SCH,OfficeMedium ACTIVITY_SCH,0.3,,3.82e-08,true,Office Dining Ventilation,Sum,0.007079,0,0,0,,{4de46ff4-004f-4e37-a184-cedf88f6e4d7}
d-b-dining-5,dining,dining,CLASSIFIED,dbdining5,98.428679,98.428679,10.594775,0.107639,9.290304,false,Office Dining,Office Dining,SOURCE_METADATA_CONSISTENT,,space_type,Office Dining,Office Dining People Definition,People/Area,0.107639104167097,OfficeLarge BLDG_OCC_SCH,OfficeMedium ACTIVITY_SCH,0.3,,3.82e-08,true,Office Dining Ventilation,Sum,0.007079,0,0,0,,{bfe8cdd6-778a-4483-b1cc-45773d67101c}
d-b-hall-1,terminal_hall,hall,CLASSIFIED,dbhall1,1146.764938,1182.972228,61.718375,0.05382,18.580608,true,,189.1-2009 - Office - WholeBuilding - Lg Office - CZ4-8,SOURCE_METADATA_DEFAULTED,,building_default_space_type,189.1-2009 - Office - WholeBuilding - Lg Office - CZ4-8,189.1-2009 - Office - WholeBuilding - Lg Office - CZ4-8 People Definition,People/Area,0.0538195520835486,Large Office Bldg Occ,Large Office Activity,0.3,,3.82e-08,true,189.1-2009 - Office - WholeBuilding - Lg Office - CZ4-8 Ventilation,Sum,0.009439,0,0,0,,{e1a94f55-8668-49cd-8999-38d087edcdda}
